n,positive_rate,predicted_positive_rate,accuracy,precision,recall,f1,log_loss,brier_score,roc_auc,tn,fp,fn,tp,fold,train_n,test_n,train_positive_rate,iterations,final_training_loss,best_validation_score
33,0.5454545454545454,0.6060606060606061,0.6363636363636364,0.65,0.7222222222222222,0.6842105263157895,0.7605915645303071,0.267610706039644,0.6185185185185185,8,7,5,13,Fold 1: Open 1 -> Open 2,33,33,0.6363636363636364,80,0.2686047494443314,0.8571428571428571
33,0.7272727272727273,0.7878787878787878,0.6363636363636364,0.7307692307692307,0.7916666666666666,0.76,0.5782586788924898,0.20634725174941923,0.6157407407407407,2,7,5,19,Fold 2: Open 1+2 -> Open 3,66,33,0.5909090909090909,63,0.44272642880805335,0.6428571428571429
