fold,iteration,training_loss,validation_score
Fold 1: Open 1 -> Open 2,1,0.8358881798269558,0.5714285714285714
Fold 1: Open 1 -> Open 2,2,0.8161325094891926,0.5714285714285714
Fold 1: Open 1 -> Open 2,3,0.7974874522946993,0.5714285714285714
Fold 1: Open 1 -> Open 2,4,0.7802042237058598,0.5714285714285714
Fold 1: Open 1 -> Open 2,5,0.763089002213757,0.5714285714285714
Fold 1: Open 1 -> Open 2,6,0.7464619336766649,0.5714285714285714
Fold 1: Open 1 -> Open 2,7,0.7304071181719324,0.5714285714285714
Fold 1: Open 1 -> Open 2,8,0.7150823859920098,0.5714285714285714
Fold 1: Open 1 -> Open 2,9,0.7004174980212411,0.5714285714285714
Fold 1: Open 1 -> Open 2,10,0.6861311748972868,0.5714285714285714
Fold 1: Open 1 -> Open 2,11,0.6719252391542333,0.5714285714285714
Fold 1: Open 1 -> Open 2,12,0.6576601134586724,0.5714285714285714
Fold 1: Open 1 -> Open 2,13,0.6434481118847248,0.5714285714285714
Fold 1: Open 1 -> Open 2,14,0.6296025009729264,0.5714285714285714
Fold 1: Open 1 -> Open 2,15,0.6171957329258875,0.5714285714285714
Fold 1: Open 1 -> Open 2,16,0.6055930561515939,0.5714285714285714
Fold 1: Open 1 -> Open 2,17,0.594344675455623,0.7142857142857143
Fold 1: Open 1 -> Open 2,18,0.583812226242442,0.7142857142857143
Fold 1: Open 1 -> Open 2,19,0.5735280363345818,0.7142857142857143
Fold 1: Open 1 -> Open 2,20,0.5634231020977797,0.7142857142857143
Fold 1: Open 1 -> Open 2,21,0.5535510818030199,0.7142857142857143
Fold 1: Open 1 -> Open 2,22,0.5439870504228833,0.7142857142857143
Fold 1: Open 1 -> Open 2,23,0.5345094288181194,0.7142857142857143
Fold 1: Open 1 -> Open 2,24,0.5252017227766737,0.7142857142857143
Fold 1: Open 1 -> Open 2,25,0.5160458809670599,0.7142857142857143
Fold 1: Open 1 -> Open 2,26,0.5070786378618275,0.7142857142857143
Fold 1: Open 1 -> Open 2,27,0.4982482885500278,0.7142857142857143
Fold 1: Open 1 -> Open 2,28,0.4895830450855324,0.7142857142857143
Fold 1: Open 1 -> Open 2,29,0.4816259414843197,0.7142857142857143
Fold 1: Open 1 -> Open 2,30,0.4741097520077532,0.7142857142857143
Fold 1: Open 1 -> Open 2,31,0.4667041055061455,0.7142857142857143
Fold 1: Open 1 -> Open 2,32,0.4594981552346705,0.7142857142857143
Fold 1: Open 1 -> Open 2,33,0.4528563074553953,0.7142857142857143
Fold 1: Open 1 -> Open 2,34,0.4466509431136569,0.7142857142857143
Fold 1: Open 1 -> Open 2,35,0.44068302581711816,0.7142857142857143
Fold 1: Open 1 -> Open 2,36,0.43487937417480704,0.7142857142857143
Fold 1: Open 1 -> Open 2,37,0.42923412157271407,0.7142857142857143
Fold 1: Open 1 -> Open 2,38,0.4237396402061379,0.7142857142857143
Fold 1: Open 1 -> Open 2,39,0.4183306484058939,0.8571428571428571
Fold 1: Open 1 -> Open 2,40,0.4130433611748951,0.8571428571428571
Fold 1: Open 1 -> Open 2,41,0.4078959404386718,0.8571428571428571
Fold 1: Open 1 -> Open 2,42,0.4030518634370134,0.8571428571428571
Fold 1: Open 1 -> Open 2,43,0.39821165702549377,0.8571428571428571
Fold 1: Open 1 -> Open 2,44,0.39343734338505254,0.7142857142857143
Fold 1: Open 1 -> Open 2,45,0.38873038244535524,0.7142857142857143
Fold 1: Open 1 -> Open 2,46,0.38409178647402226,0.7142857142857143
Fold 1: Open 1 -> Open 2,47,0.37952759718762713,0.7142857142857143
Fold 1: Open 1 -> Open 2,48,0.3750325323872462,0.7142857142857143
Fold 1: Open 1 -> Open 2,49,0.3706066695469398,0.7142857142857143
Fold 1: Open 1 -> Open 2,50,0.3662498714247785,0.7142857142857143
Fold 1: Open 1 -> Open 2,51,0.36196181794078996,0.7142857142857143
Fold 1: Open 1 -> Open 2,52,0.3577564460003311,0.7142857142857143
Fold 1: Open 1 -> Open 2,53,0.35364387301825473,0.7142857142857143
Fold 1: Open 1 -> Open 2,54,0.3496894518876588,0.7142857142857143
Fold 1: Open 1 -> Open 2,55,0.3458465894127659,0.7142857142857143
Fold 1: Open 1 -> Open 2,56,0.34206718341964026,0.7142857142857143
Fold 1: Open 1 -> Open 2,57,0.3383501714549593,0.7142857142857143
Fold 1: Open 1 -> Open 2,58,0.3347132250731782,0.7142857142857143
Fold 1: Open 1 -> Open 2,59,0.33123900470352086,0.7142857142857143
Fold 1: Open 1 -> Open 2,60,0.32782016876420594,0.7142857142857143
Fold 1: Open 1 -> Open 2,61,0.3244229208104676,0.7142857142857143
Fold 1: Open 1 -> Open 2,62,0.32105020668243106,0.7142857142857143
Fold 1: Open 1 -> Open 2,63,0.31771419433600345,0.7142857142857143
Fold 1: Open 1 -> Open 2,64,0.3144142808005218,0.7142857142857143
Fold 1: Open 1 -> Open 2,65,0.31115337776288715,0.7142857142857143
Fold 1: Open 1 -> Open 2,66,0.3079340446137915,0.7142857142857143
Fold 1: Open 1 -> Open 2,67,0.30475846277066515,0.7142857142857143
Fold 1: Open 1 -> Open 2,68,0.3016284223437374,0.7142857142857143
Fold 1: Open 1 -> Open 2,69,0.2985453210952575,0.7142857142857143
Fold 1: Open 1 -> Open 2,70,0.2955457322721745,0.7142857142857143
Fold 1: Open 1 -> Open 2,71,0.29259593066362777,0.7142857142857143
Fold 1: Open 1 -> Open 2,72,0.28969270074542613,0.7142857142857143
Fold 1: Open 1 -> Open 2,73,0.28686308108190095,0.7142857142857143
Fold 1: Open 1 -> Open 2,74,0.28413787525498546,0.7142857142857143
Fold 1: Open 1 -> Open 2,75,0.2814461402951931,0.7142857142857143
Fold 1: Open 1 -> Open 2,76,0.27878823769944466,0.7142857142857143
Fold 1: Open 1 -> Open 2,77,0.2761645277376531,0.7142857142857143
Fold 1: Open 1 -> Open 2,78,0.273575352105556,0.7142857142857143
Fold 1: Open 1 -> Open 2,79,0.27103042868267446,0.7142857142857143
Fold 1: Open 1 -> Open 2,80,0.2686047494443314,0.7142857142857143
Fold 2: Open 1+2 -> Open 3,1,0.9408093646032983,0.5
Fold 2: Open 1+2 -> Open 3,2,0.9204587360300776,0.5
Fold 2: Open 1+2 -> Open 3,3,0.9011412092188432,0.5
Fold 2: Open 1+2 -> Open 3,4,0.8823770640345443,0.5
Fold 2: Open 1+2 -> Open 3,5,0.8642928505781041,0.5
Fold 2: Open 1+2 -> Open 3,6,0.8465645093382664,0.5
Fold 2: Open 1+2 -> Open 3,7,0.8294864476792513,0.5
Fold 2: Open 1+2 -> Open 3,8,0.8136469979414277,0.5
Fold 2: Open 1+2 -> Open 3,9,0.7987647731336371,0.5
Fold 2: Open 1+2 -> Open 3,10,0.7844355285083661,0.5
Fold 2: Open 1+2 -> Open 3,11,0.7709951134166535,0.5
Fold 2: Open 1+2 -> Open 3,12,0.7580101557954038,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,13,0.7458047213368274,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,14,0.7339826047830049,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,15,0.7225092179479675,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,16,0.7115954798322842,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,17,0.7010191192682897,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,18,0.690665450408142,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,19,0.6803966686225705,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,20,0.6702829004743786,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,21,0.6600553888129651,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,22,0.6499280444900025,0.6428571428571429
Fold 2: Open 1+2 -> Open 3,23,0.640022637194974,0.6428571428571429
Fold 2: Open 1+2 -> Open 3,24,0.6304006109517629,0.6428571428571429
Fold 2: Open 1+2 -> Open 3,25,0.6213710400602263,0.6428571428571429
Fold 2: Open 1+2 -> Open 3,26,0.6125466180712186,0.6428571428571429
Fold 2: Open 1+2 -> Open 3,27,0.6037274061167031,0.6428571428571429
Fold 2: Open 1+2 -> Open 3,28,0.5953325580809603,0.6428571428571429
Fold 2: Open 1+2 -> Open 3,29,0.5872813794089787,0.6428571428571429
Fold 2: Open 1+2 -> Open 3,30,0.5795652189487239,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,31,0.572846086818772,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,32,0.5662532241720705,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,33,0.5598499019753749,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,34,0.5536309397384184,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,35,0.5475908124412665,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,36,0.5418378293981483,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,37,0.536334647002057,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,38,0.5310784635304385,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,39,0.5259846893895056,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,40,0.5211620814277329,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,41,0.5166408209953856,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,42,0.5122339761360446,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,43,0.508004488743915,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,44,0.5038929051843551,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,45,0.49987755066931566,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,46,0.4960353056238047,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,47,0.492291875607131,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,48,0.4886117905853528,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,49,0.48513100084884225,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,50,0.481729672450452,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,51,0.4783879144884763,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,52,0.47516894987673564,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,53,0.47202692333067325,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,54,0.4689676236523953,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,55,0.46598185112280444,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,56,0.46304508723637305,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,57,0.46017935511461955,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,58,0.45724741409271896,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,59,0.4543465777390553,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,60,0.45145405133985694,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,61,0.44859667717975993,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,62,0.44567889477136047,0.5714285714285714
Fold 2: Open 1+2 -> Open 3,63,0.44272642880805335,0.5714285714285714
