model,fold,n,accuracy,precision,recall,f1,roc_auc,log_loss,brier_score,tn,fp,fn,tp
Logistic Regression,Fold 1: Open 1 -> Open 2,33,0.7272727272727273,0.7368421052631579,0.7777777777777778,0.7567567567567568,0.837037037037037,0.6464292054108369,0.21423938153474023,10,5,4,14
Logistic Regression,Fold 2: Open 1+2 -> Open 3,33,0.6363636363636364,0.9285714285714286,0.5416666666666666,0.6842105263157895,0.7685185185185185,1.0909494074787154,0.2807375325703949,8,1,11,13
Random Forest,Fold 1: Open 1 -> Open 2,33,0.696969696969697,0.7,0.7777777777777778,0.7368421052631579,0.7740740740740741,0.5946147807143792,0.2001500637932763,9,6,4,14
Random Forest,Fold 2: Open 1+2 -> Open 3,33,0.696969696969697,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.7916666666666667,0.5495882926484472,0.18719328784417885,7,2,8,16
Neural Network,Fold 1: Open 1 -> Open 2,33,0.6363636363636364,0.65,0.7222222222222222,0.6842105263157895,0.6185185185185185,0.760591564530307,0.267610706039644,8,7,5,13
Neural Network,Fold 2: Open 1+2 -> Open 3,33,0.6363636363636364,0.7307692307692307,0.7916666666666666,0.76,0.6157407407407407,0.5782586788924898,0.20634725174941926,2,7,5,19
