series_id,open,stage,subgroup,series_start_utc,team_a,team_b,team_a_players,team_b_players,target_team_a_win,winner_reaches_required_wins,result_reconciled,result_source,completed_team_a_game_wins,completed_team_b_game_wins,completed_series_winner_side,team_a_career_games_mean,team_a_career_win_pct_mean,team_a_career_score_avg_mean,team_a_career_goals_avg_mean,team_a_career_assists_avg_mean,team_a_career_shots_avg_mean,team_a_career_saves_avg_mean,team_a_career_demos_avg_mean,team_a_career_rating_mean,team_a_2024_games_mean,team_a_2024_win_pct_mean,team_a_2024_score_avg_mean,team_a_2024_goals_avg_mean,team_a_2024_assists_avg_mean,team_a_2024_shots_avg_mean,team_a_2024_saves_avg_mean,team_a_2024_demos_avg_mean,team_a_2024_rating_mean,team_a_blast_players_total,team_a_blast_players_name_matched,team_a_blast_players_with_stats,team_a_blast_stats_coverage,team_b_career_games_mean,team_b_career_win_pct_mean,team_b_career_score_avg_mean,team_b_career_goals_avg_mean,team_b_career_assists_avg_mean,team_b_career_shots_avg_mean,team_b_career_saves_avg_mean,team_b_career_demos_avg_mean,team_b_career_rating_mean,team_b_2024_games_mean,team_b_2024_win_pct_mean,team_b_2024_score_avg_mean,team_b_2024_goals_avg_mean,team_b_2024_assists_avg_mean,team_b_2024_shots_avg_mean,team_b_2024_saves_avg_mean,team_b_2024_demos_avg_mean,team_b_2024_rating_mean,team_b_blast_players_total,team_b_blast_players_name_matched,team_b_blast_players_with_stats,team_b_blast_stats_coverage,diff_career_games,diff_career_win_pct,diff_career_score_avg,diff_career_goals_avg,diff_career_assists_avg,diff_career_shots_avg,diff_career_saves_avg,diff_career_demos_avg,diff_career_rating,diff_2024_games,diff_2024_win_pct,diff_2024_score_avg,diff_2024_goals_avg,diff_2024_assists_avg,diff_2024_shots_avg,diff_2024_saves_avg,diff_2024_demos_avg,diff_2024_rating,tournament_name,tournament_order,matchup_fingerprint,series_end_utc,replay_count,wins_required,series_winner_side,series_winner,orientation_error,team_name_consistency,provisional_series_key,team_a_blast_coverage_fraction,team_b_blast_coverage_fraction,chronological_index,team_a_game_wins_observed,team_b_game_wins_observed,team_a_recent_form_name,team_b_recent_form_name,team_a_recent_form_identity_source,team_b_recent_form_identity_source,team_a_prior_series_played,team_a_prior_series_wins,team_a_prior_series_losses,team_a_prior_series_win_rate,team_a_prior_game_wins,team_a_prior_game_losses,team_a_prior_game_win_rate,team_a_prior_series_win_streak,team_a_recent3_series_played,team_a_recent3_series_win_rate,team_a_recent5_series_played,team_a_recent5_series_win_rate,team_a_recent3_avg_game_win_rate,team_a_recent5_avg_game_win_rate,team_b_prior_series_played,team_b_prior_series_wins,team_b_prior_series_losses,team_b_prior_series_win_rate,team_b_prior_game_wins,team_b_prior_game_losses,team_b_prior_game_win_rate,team_b_prior_series_win_streak,team_b_recent3_series_played,team_b_recent3_series_win_rate,team_b_recent5_series_played,team_b_recent5_series_win_rate,team_b_recent3_avg_game_win_rate,team_b_recent5_avg_game_win_rate,diff_prior_series_played,diff_prior_series_win_rate,diff_prior_game_win_rate,diff_prior_series_win_streak,diff_recent3_series_win_rate,diff_recent5_series_win_rate,diff_recent3_avg_game_win_rate,diff_recent5_avg_game_win_rate,series_at_timestamp
O1_012,Open 1,Group Stages,Group B,2025-01-10 23:06:00+00:00,,,ExoTiiK|M0nkey M00n|zen,itachi|nass|Oski,1,True,False,observed_replays,,,,654.3333333333334,63.16666666666666,423.0,0.7966666666666667,0.6333333333333333,3.17,1.856666666666667,1.1466666666666667,7.233333333333334,260.3333333333333,63.333333333333336,412.0,0.8133333333333334,0.6366666666666667,3.18,1.7733333333333332,1.26,7.25,3,3,3,1.0,535.6666666666666,57.53333333333333,381.6666666666667,0.7266666666666666,0.5933333333333334,3.0766666666666667,1.5233333333333334,1.1033333333333333,7.063333333333333,319.0,57.56666666666666,381.6666666666667,0.7133333333333334,0.6233333333333334,3.063333333333334,1.4866666666666666,1.0466666666666666,7.073333333333333,3,3,3,1.0,118.66666666666674,5.633333333333333,41.333333333333314,0.0700000000000001,0.0399999999999999,0.0933333333333332,0.3333333333333332,0.0433333333333334,0.1700000000000017,-58.666666666666686,5.766666666666673,30.333333333333314,0.0999999999999999,0.0133333333333333,0.1166666666666658,0.2866666666666666,0.2133333333333333,0.1766666666666667,Open 1,1,,,,,,,,,,,,12,3,0,TEAM VITALITY,NIP,same_tournament_roster_lookup,same_tournament_roster_lookup,1,1,0,1.0,3,0,1.0,1,1,1.0,1,1.0,1.0,1.0,0,0,0,,0,0,,0,0,,0,,,,1.0,,,1.0,,,,,2
O1_013,Open 1,Group Stages,Group B,2025-01-10 23:06:00+00:00,NIP,CALIENTE,itachi|nass|Oski,growlii|Kaydop|saizen,1,True,False,observed_replays,,,,535.6666666666666,57.53333333333333,381.6666666666667,0.7266666666666666,0.5933333333333334,3.0766666666666667,1.5233333333333334,1.1033333333333333,7.063333333333333,319.0,57.56666666666666,381.6666666666667,0.7133333333333334,0.6233333333333334,3.063333333333334,1.4866666666666666,1.0466666666666666,7.073333333333333,3,3,3,1.0,224.5,48.650000000000006,337.0,0.55,0.4649999999999999,2.44,1.55,1.175,6.74,26.0,30.8,344.0,0.5,0.42,2.08,1.46,1.46,6.43,3,3,2,0.6666666666666666,311.16666666666663,8.883333333333326,44.666666666666686,0.1766666666666665,0.1283333333333334,0.6366666666666667,-0.0266666666666666,-0.0716666666666667,0.3233333333333323,293.0,26.766666666666666,37.666666666666686,0.2133333333333333,0.2033333333333334,0.9833333333333338,0.0266666666666666,-0.4133333333333333,0.6433333333333335,Open 1,1,,,,,,,,,,,,13,3,1,NIP,CALIENTE,team_name,team_name,1,0,1,0.0,0,3,0.0,0,1,0.0,1,0.0,0.0,0.0,1,0,1,0.0,2,3,0.4,0,1,0.0,1,0.0,0.4,0.4,0.0,0.0,-0.4,0.0,0.0,0.0,-0.4,-0.4,2
O2_002,Open 2,Group Stages,Group A,2025-01-31 16:12:00+00:00,TEAM VITALITY,TEAM JJROX,ExoTiiK|M0nkey M00n|zen,MaRc_By_8.|Rxii|Stake,1,True,,,,,,654.3333333333334,63.16666666666666,423.0,0.7966666666666667,0.6333333333333333,3.17,1.856666666666667,1.1466666666666667,7.233333333333334,260.3333333333333,63.333333333333336,412.0,0.8133333333333334,0.6366666666666667,3.18,1.7733333333333332,1.26,7.25,3,3,3,,146.0,54.1,340.0,0.49,0.49,2.29,1.71,1.29,6.88,,,,,,,,,,3,3,1,,508.33333333333337,9.066666666666665,83.0,0.3066666666666667,0.1433333333333333,0.8799999999999999,0.1466666666666667,-0.1433333333333333,0.3533333333333344,,,,,,,,,,Open 2,2,ExoTiiK|M0nkey M00n|zen || MaRc_By_8.|Rxii|Stake,2025-01-31 16:35:00+00:00,4.0,3.0,A,TEAM VITALITY,False,True,candidate_004,1.0,0.3333333333333333,35,3,1,TEAM VITALITY,TEAM JJROX,team_name,team_name,6,5,1,0.8333333333333334,17,6,0.7391304347826086,0,3,0.6666666666666666,5,0.8,0.6,0.71,0,0,0,,0,0,,0,0,,0,,,,6.0,,,0.0,,,,,2
O2_003,Open 2,Group Stages,Group A,2025-01-31 16:12:00+00:00,CALIENTE,NIP,Kaydop|growlii|saizen,Oski|itachi|nass,0,True,,,,,,224.5,48.650000000000006,337.0,0.55,0.4649999999999999,2.44,1.55,1.175,6.74,26.0,30.8,344.0,0.5,0.42,2.08,1.46,1.46,6.43,3,3,2,,535.6666666666666,57.53333333333333,381.6666666666667,0.7266666666666666,0.5933333333333333,3.0766666666666667,1.5233333333333334,1.1033333333333333,7.0633333333333335,319.0,57.56666666666666,381.6666666666667,0.7133333333333333,0.6233333333333334,3.063333333333333,1.4866666666666666,1.0466666666666666,7.073333333333333,3,3,3,,-311.16666666666663,-8.883333333333326,-44.666666666666686,-0.1766666666666665,-0.1283333333333333,-0.6366666666666667,0.0266666666666666,0.0716666666666667,-0.3233333333333332,-293.0,-26.766666666666666,-37.666666666666686,-0.2133333333333332,-0.2033333333333334,-0.983333333333333,-0.0266666666666666,0.4133333333333333,-0.6433333333333335,Open 2,2,Kaydop|growlii|saizen || Oski|itachi|nass,2025-01-31 16:36:00+00:00,4.0,3.0,B,NIP,False,True,candidate_007,0.6666666666666666,1.0,36,1,3,CALIENTE,NIP,team_name,team_name,3,1,2,0.3333333333333333,6,6,0.5,1,3,0.3333333333333333,3,0.3333333333333333,0.5499999999999999,0.5499999999999999,7,5,2,0.7142857142857143,18,11,0.6206896551724138,0,3,0.6666666666666666,5,0.8,0.5904761904761905,0.7542857142857142,-4.0,-0.380952380952381,-0.1206896551724138,1.0,-0.3333333333333333,-0.4666666666666667,-0.0404761904761905,-0.2042857142857143,2
O2_011,Open 2,Group Stages,Group B,2025-01-31 17:14:00+00:00,ASCEND,NOMSTER,GiuK|Mat.|Nico,Rebmob_.|Sharkdop.|jellyrl_ [LIVE],1,True,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,Open 2,2,GiuK|Mat.|Nico || Rebmob_.|Sharkdop.|jellyrl_ [LIVE],2025-01-31 17:39:00+00:00,4.0,3.0,A,ASCEND,False,True,candidate_013,0.0,0.0,44,3,1,ASCEND,NOMSTER,team_name,team_name,3,1,2,0.3333333333333333,4,6,0.4,0,3,0.3333333333333333,3,0.3333333333333333,0.4166666666666667,0.4166666666666667,1,0,1,0.0,1,3,0.25,0,1,0.0,1,0.0,0.25,0.25,2.0,0.3333333333333333,0.15,0.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,2
O2_012,Open 2,Group Stages,Group B,2025-01-31 17:14:00+00:00,DIGNITAS,SAVE THE GAME,ApparentlyJack|joreuz|stizzy,AztraL|Extra|mtzR.,1,True,,,,,,471.6666666666667,54.96666666666667,394.3333333333333,0.7666666666666666,0.58,3.1933333333333334,1.6166666666666665,1.1966666666666663,7.080000000000001,166.66666666666666,55.06666666666666,381.3333333333333,0.7333333333333334,0.5733333333333334,3.103333333333333,1.5466666666666669,1.4233333333333336,7.056666666666668,3,3,3,,465.0,55.900000000000006,352.5,0.63,0.525,2.64,1.425,1.005,6.96,58.0,46.6,354.0,0.53,0.48,2.66,1.74,1.16,6.86,3,3,2,,6.666666666666686,-0.9333333333333372,41.833333333333314,0.1366666666666666,0.0549999999999999,0.5533333333333337,0.1916666666666664,0.1916666666666664,0.120000000000001,108.66666666666666,8.466666666666661,27.333333333333314,0.2033333333333333,0.0933333333333333,0.4433333333333333,-0.1933333333333331,0.2633333333333336,0.1966666666666672,Open 2,2,ApparentlyJack|joreuz|stizzy || AztraL|Extra|mtzR.,2025-01-31 17:36:00+00:00,4.0,3.0,A,DIGNITAS,False,True,candidate_016,1.0,0.6666666666666666,45,3,1,DIGNITAS,SAVE THE GAME,team_name,team_name,6,3,3,0.5,14,16,0.4666666666666667,1,3,0.3333333333333333,5,0.4,0.4595238095238095,0.4457142857142857,3,1,2,0.3333333333333333,4,8,0.3333333333333333,1,3,0.3333333333333333,3,0.3333333333333333,0.2833333333333333,0.2833333333333333,3.0,0.1666666666666666,0.1333333333333333,0.0,0.0,0.0666666666666667,0.1761904761904761,0.1623809523809524,2
O2_022,Open 2,Group Stages,Group A,2025-01-31 22:58:00+00:00,GEEKAY ESPORTS,TEAM JJROX,Archie|Joyo|oaly.,MaRc_By_8.|Rxii|Stake,1,True,,,,,,631.3333333333334,54.833333333333336,389.6666666666667,0.71,0.5499999999999999,3.083333333333333,1.65,1.0566666666666666,7.036666666666666,168.66666666666666,54.6,389.6666666666667,0.7399999999999999,0.5333333333333333,3.203333333333333,1.606666666666667,0.9833333333333334,7.023333333333333,3,3,3,,146.0,54.1,340.0,0.49,0.49,2.29,1.71,1.29,6.88,,,,,,,,,,3,3,1,,485.33333333333337,0.7333333333333343,49.666666666666686,0.2199999999999999,0.0599999999999999,0.7933333333333334,-0.0599999999999998,-0.2333333333333334,0.1566666666666663,,,,,,,,,,Open 2,2,Archie|Joyo|oaly. || MaRc_By_8.|Rxii|Stake,2025-01-31 23:12:00+00:00,3.0,3.0,A,GEEKAY ESPORTS,False,True,candidate_012,1.0,0.3333333333333333,55,3,0,GEEKAY ESPORTS,TEAM JJROX,team_name,team_name,7,3,4,0.4285714285714285,14,15,0.4827586206896552,1,3,0.3333333333333333,5,0.4,0.3333333333333333,0.48,2,1,1,0.5,4,5,0.4444444444444444,1,2,0.5,2,0.5,0.425,0.425,5.0,-0.0714285714285714,0.0383141762452107,0.0,-0.1666666666666666,-0.0999999999999999,-0.0916666666666666,0.0549999999999999,2
O2_023,Open 2,Group Stages,Group B,2025-01-31 22:58:00+00:00,DIGNITAS,KARMINE CORP,ApparentlyJack|joreuz|stizzy,Atow Rikow !|Vatira|dralii,0,True,,,,,,471.6666666666667,54.96666666666667,394.3333333333333,0.7666666666666666,0.58,3.1933333333333334,1.6166666666666665,1.1966666666666663,7.080000000000001,166.66666666666666,55.06666666666666,381.3333333333333,0.7333333333333334,0.5733333333333334,3.103333333333333,1.5466666666666669,1.4233333333333336,7.056666666666668,3,3,3,,597.6666666666666,61.833333333333336,396.0,0.7433333333333335,0.6366666666666666,3.123333333333333,1.6133333333333333,1.3533333333333335,7.19,212.0,65.66666666666667,400.6666666666667,0.7666666666666666,0.6633333333333332,3.0966666666666662,1.606666666666667,1.5033333333333332,7.263333333333333,3,3,3,,-125.99999999999994,-6.866666666666667,-1.6666666666666856,0.023333333333333,-0.0566666666666666,0.0700000000000002,0.0033333333333331,-0.1566666666666669,-0.1099999999999994,-45.33333333333334,-10.600000000000009,-19.33333333333337,-0.0333333333333332,-0.0899999999999998,0.0066666666666672,-0.0599999999999998,-0.0799999999999996,-0.2066666666666652,Open 2,2,ApparentlyJack|joreuz|stizzy || Atow Rikow !|Vatira|dralii,2025-01-31 23:20:00+00:00,4.0,3.0,B,KARMINE CORP,False,True,candidate_023,1.0,1.0,56,1,3,DIGNITAS,KARMINE CORP,team_name,team_name,7,4,3,0.5714285714285714,17,17,0.5,2,3,0.6666666666666666,5,0.4,0.6428571428571429,0.4757142857142857,8,8,0,1.0,27,5,0.84375,8,3,1.0,5,1.0,1.0,0.92,-1.0,-0.4285714285714286,-0.34375,-6.0,-0.3333333333333333,-0.6,-0.3571428571428571,-0.4442857142857142,2
