n,positive_rate,predicted_positive_rate,accuracy,precision,recall,f1,log_loss,brier_score,roc_auc,tn,fp,fn,tp,fold,train_n,test_n,train_positive_rate
33,0.5454545454545454,0.6060606060606061,0.696969696969697,0.7,0.7777777777777778,0.7368421052631579,0.5946147807143792,0.2001500637932763,0.7740740740740741,9,6,4,14,Fold 1: Open 1 -> Open 2,33,33,0.6363636363636364
33,0.7272727272727273,0.5454545454545454,0.696969696969697,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5495882926484472,0.1871932878441788,0.7916666666666667,7,2,8,16,Fold 2: Open 1+2 -> Open 3,66,33,0.5909090909090909
