model,scope,n,accuracy,precision,recall,f1,roc_auc,log_loss,brier_score,tn,fp,fn,tp
Logistic Regression,Pooled OOS,66,0.6818181818181818,0.8181818181818182,0.6428571428571429,0.72,0.7817460317460317,0.868689306444776,0.24748845705256753,18,6,15,27
Random Forest,Pooled OOS,66,0.696969696969697,0.7894736842105263,0.7142857142857143,0.75,0.7519841269841271,0.5721015366814132,0.19367167581872755,16,8,12,30
Neural Network,Pooled OOS,66,0.6363636363636364,0.6956521739130435,0.7619047619047619,0.7272727272727273,0.6438492063492064,0.6694251217113985,0.23697897889453165,10,14,10,32
